fid,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,DPA_VALOR,Shape_Leng,Shape_Area,lat,lon,,Region
52,610,CUMANDA,6,CHIMBORAZO,2010,0,83583.07477,158556223.7,-2.214,-79.08,,Interandean
53,701,MACHALA,7,EL ORO,2010,0,208931.4237,322804880.9,-3.321,-79.945,,Interandean
54,702,ARENILLAS,7,EL ORO,2010,0,176564.7633,805965731.2,-3.6,-80.089,,Coast
55,703,ATAHUALPA,7,EL ORO,2010,0,106931.9872,278432910.6,-3.553,-79.717,,Coast
56,704,BALSAS,7,EL ORO,2010,0,47107.54397,69187513.02,-3.751,-79.828,,Coast
57,705,CHILLA,7,EL ORO,2010,0,96784.55948,331350719.4,-3.442,-79.628,,Coast
58,706,EL GUABO,7,EL ORO,2010,0,141917.862,602116043.3,-3.169,-79.788,,Coast
59,707,HUAQUILLAS,7,EL ORO,2010,0,67351.74615,63499621.65,-3.46,-80.185,,Coast
60,708,MARCABELI,7,EL ORO,2010,0,66326.21572,148346041.2,-3.78,-79.932,,Coast
61,709,PASAJE,7,EL ORO,2010,0,191909.6698,454854130.1,-3.329,-79.734,,Coast
62,710,PIÑAS,7,EL ORO,2010,0,154038.3826,616916316.3,-3.703,-79.781,,Coast
63,711,PORTOVELO,7,EL ORO,2010,0,98290.49638,285716945.3,-3.741,-79.503,,Coast
64,712,SANTA ROSA,7,EL ORO,2010,0,516381.0695,810941098.3,-3.495,-79.901,,Coast
65,713,ZARUMA,7,EL ORO,2010,0,185263.1896,651591225.6,-3.622,-79.555,,Coast
66,714,LAS LAJAS,7,EL ORO,2010,0,98891.77124,298679589.9,-3.804,-80.068,,Coast
67,801,ESMERALDAS,8,ESMERALDAS,2010,0,279277.7039,1340438501,0.796,-79.626,,Coast
68,802,ELOY ALFARO,8,ESMERALDAS,2010,0,768334.054,4264800627,0.75,-78.951,,Coast
69,803,MUISNE,8,ESMERALDAS,2010,0,309158.7879,1239440103,0.535,-79.934,,Coast
70,804,QUININDE,8,ESMERALDAS,2010,0,456808.2849,3873896801,0.362,-79.439,,Coast
71,805,SAN LORENZO,8,ESMERALDAS,2010,0,798701.4412,3018799681,0.996,-78.68,,Coast
72,806,ATACAMES,8,ESMERALDAS,2010,0,143112.5832,508261592.4,0.788,-79.859,,Coast
